timestep,MFN-A2C + DSR,MFN-A2C + PV,A2C + DSR,A2C + PV
311,9544.092083819642,9206.386430779548,9421.977649840252,9598.248730182268
312,9559.393756850508,9225.254530415135,9442.060226374704,9614.91372950608
313,9601.732968369706,9290.175830255976,9482.189399317684,9654.537113669125
314,9569.792550054412,9255.182361628358,9453.262131144653,9619.40375909646
315,9532.246014154583,9204.690275171895,9418.234223247247,9581.721488448262
316,9581.14765161708,9244.04590183427,9456.529489125283,9629.494529017216
317,9509.240642681478,9168.044729632513,9389.727768042136,9557.633549472745
318,9560.64313399804,9218.378617793163,9437.044090638434,9604.78387374151
319,9506.284325803312,9169.322173258364,9377.09959981144,9552.502908303515
320,9546.44805122543,9211.14525515058,9411.167340142478,9592.58764545014
321,9399.07798090696,9037.97088831817,9268.320896307943,9443.289808718691
322,9449.464235519534,9104.932541619972,9320.559304384537,9490.78774922663
323,9458.30576045532,9126.249621533012,9329.176254274123,9500.232581088076
324,9500.316727225572,9163.772457703884,9369.065448007084,9544.375065794384
325,9525.694213350933,9182.203071780696,9393.881298675038,9571.222371418373
326,9641.19940462351,9309.726861069772,9502.304206116614,9692.861240772274
327,9672.532038626732,9328.314217407791,9530.343337373655,9723.543732254964
328,9686.271836982129,9314.479187048924,9535.492604209554,9738.402099035517
329,9668.704330440512,9294.285085507923,9520.030851387644,9721.531221446765
330,9722.442118749512,9341.24475122536,9570.671542449854,9774.182738372116
331,9607.624945307549,9211.791191729892,9466.486269624507,9659.282959231688
332,9658.81557665616,9270.469522371572,9514.428485672017,9711.340701847255
333,9674.953968295364,9296.303434280737,9533.620713440943,9727.302210684264
334,9645.194146621698,9277.34928887193,9503.24193384334,9696.272039936184
335,9662.878132102294,9299.221289331996,9521.697326666896,9713.376075991102
336,9623.802655914664,9264.607487639509,9482.426981218612,9672.50718347973
337,9599.57068326094,9230.329761543522,9459.185046223674,9649.683263716664
338,9570.87163681372,9208.848958575894,9433.585844664023,9619.455584358237
339,9613.809654627405,9254.983349933513,9472.266700429844,9663.912769660386
340,9626.263349833593,9273.87098069782,9484.84126191694,9676.71384933975
341,9597.176626945287,9252.24045762781,9453.790750507957,9650.59727083354
342,9583.404640120983,9244.877221672705,9438.78149125247,9635.10666466262
343,9593.989214403176,9251.125942297336,9447.13217324792,9644.95679785359
344,9549.639092367695,9197.60904542036,9406.6984398904,9602.006805818928
345,9554.678201244207,9184.18469498615,9405.71998845856,9606.047030256752
346,9545.711879509812,9170.71201711649,9397.896091905175,9596.33574178297
347,9461.021583967598,9094.29307249707,9320.087000518144,9509.742418695178
348,9471.567258379486,9090.629630720116,9333.079046607832,9520.575965050886
349,9575.068403029642,9207.22588528937,9438.28068809458,9624.13434939007
350,9542.029177377288,9171.751589830716,9409.211937396716,9594.724681916596
351,9491.83731999531,9155.132105773037,9368.36546650206,9552.504606567576
352,9499.830602075488,9187.263238205987,9372.031160519531,9560.810748620295
353,9478.303566932473,9169.006752606212,9346.807443083011,9536.805635948573
354,9451.348611131198,9142.90167667606,9321.984880103868,9509.477091174062
355,9429.67407032684,9129.899018949502,9303.668231332143,9487.48319046684
356,9363.539985118545,9020.936138821096,9237.017069801315,9412.70924099376
357,9401.926947000606,9055.49710214162,9279.09158834288,9449.939575801136
358,9476.607449897012,9121.272193865856,9350.202714741545,9527.843964795817
359,9725.00573776719,9308.51893600244,9552.64294693604,9782.17588297666
360,9741.75081627886,9333.66785618682,9564.961005750038,9797.963342456504
361,9781.505549786882,9390.579878420329,9602.829003622895,9838.22281803891
362,9751.89688757979,9369.726507119838,9569.244014590708,9803.752434196387
363,9658.521318634255,9263.106620327351,9475.449961617824,9710.468862746984
364,9590.706287182044,9190.443439319131,9411.122533511018,9639.961766222874
365,9677.9855150183,9271.450801704112,9500.480283844568,9729.458014238078
366,9893.440891815271,9546.57190991052,9702.540042719542,9947.584789112912
367,9948.461250573731,9625.345125363265,9753.594870075556,10003.695915174652
