timestep,Proposed Method,A2C,DQN,Buy and Hold
789,12291.531898336978,12037.69493295811,11288.49159878952,12226.98767243902
790,12259.40303243206,12006.33174276586,11198.35517621151,12192.958271785705
791,12344.484251603662,12089.560988568664,11198.35517699674,12217.401519211704
792,12662.97333892099,12368.054443332918,11198.35517990498,11936.454712399953
793,12658.762367986166,12368.096458454856,11198.355179875136,11967.794271070225
794,12667.431387426272,12370.396354206516,11198.35517995386,11991.77614113812
795,12502.10585506801,12225.74034603959,11211.423345022771,12069.006327961835
796,12424.117173445457,12153.163144436701,11120.70595544142,12119.997564059266
797,12412.054023854362,12144.480993375248,11091.530513686806,12321.99476646557
798,12488.084420510862,12216.92367535432,11091.53051439168,12258.489791609369
799,12467.338790971136,12195.971914067874,11091.53051419691,12373.016585314155
800,12437.758054322892,12177.577901903023,11091.53051392612,12399.400637156326
801,12408.374710877037,12145.3543429723,11091.53051366142,12540.176999933354
802,12739.894578100506,12389.637400738276,11091.530516517549,12775.117805054882
803,12753.485684917436,12399.912026485235,11072.502484746688,12724.362706166565
804,12823.15996349829,12464.79193705044,11219.290159997689,12633.51821254076
805,12957.863248160942,12601.425104135662,11219.290161170657,12874.30220097459
806,13002.436076291073,12649.11337565649,11280.759119202443,12869.896782981185
807,13070.925384326869,12710.671616558642,11314.657442047466,12936.09656265082
808,13047.162784898344,12690.194989600102,11345.994557504624,12897.015181728935
809,13027.493398913817,12673.71952980682,11402.190442622876,13014.634297138307
810,13092.924616960903,12733.271230948449,11402.19044320676,13401.831899079956
811,13202.573566072107,12830.28960447912,11360.358509014492,13398.306250824444
812,13153.47533098561,12793.028728662868,11488.543509914714,13406.67074452082
813,13189.177791596472,12824.858209701833,11568.77118586813,13205.91751009328
814,12974.087856900487,12614.957548433775,11568.77118394124,13113.857964477944
815,13041.606239537776,12682.854941128975,11707.509649405209,13102.351170325552
816,13002.783304460858,12647.722280905522,11614.45708838579,13207.18088152042
817,12965.499019771674,12611.872293787954,11584.05075047841,13172.249779379972
818,13043.93847651275,12688.042920171658,11697.730726794509,13138.837885972487
819,13045.270839412604,12688.47634316942,11697.730726810183,13102.64795754291
820,13071.916648321336,12722.119174762087,11824.38722368648,13426.401240328372
821,13252.811638583304,12893.063157624152,12048.295082715418,13445.778950740052
822,13253.374380680512,12897.726771198642,12207.572901891746,13551.102525436985
823,13148.133722902649,12799.159207511348,12166.681383849964,13696.66287039598
824,13182.790464819802,12829.827946643638,12381.859591776829,13777.486285900111
825,13032.388007421147,12686.467031221964,12013.682785357745,13868.523244560954
826,12886.639489785024,12550.145366091832,11805.243253316898,13827.2009995492
827,12941.462830019149,12609.0716487429,11895.909089367433,13804.476769641915
828,12975.554587822768,12640.483141632223,11937.260061972322,13884.15813488363
829,12823.965865865393,12491.518641172528,11625.596250935909,14016.535496876217
